time,lat,lon,depth,ProChl_Chisholm,Unit,picoprokaryote,picoprokaryote_std,target_unit
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,190,0.17342601800000002,],0.09299310110509396,0.006684928626867253, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,220,0.231249299,],0.06283719185739756,0.030882741735589914, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,250,0.304706884,],,, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,17,0.004003095999999999,],0.1505629327148199,0.0067696022348256646, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,34,0.004175613,],0.14914333075284958,0.007551802924797458, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,47,0.004438479,],0.13906094897538424,0.01647980915041812, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,65,0.00325852,],0.1142015466466546,0.026811692706937833, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,86,0.005068789000000001,],0.10682493261992931,0.02523966117014112, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,113,0.015948254,],0.10323603637516499,0.023903886896572805, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,125,0.029574816,],0.10275985393673182,0.02367764459321944, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,170,0.102195664,],0.09813988488167524,0.01852441025657561, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,200,0.17565260100000002,],,, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,14,0.003383142,],0.11402401700615883,0.00403232024127982, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,28,0.003056799,],0.11379102617502213,0.0041167850355170715, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,39,0.002907779,],0.11310712061822414,0.0043572013667416325, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,54,0.002786607,],0.09957065246999264,0.008851669766149137, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,71,0.002873796,],0.09652581065893173,0.011159898358224942, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,94,0.003401896,],0.09676339849829674,0.011529996197196185, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,140,0.01665617,],0.09802002087235451,0.01106250789489881, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,180,0.076145018,],,, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,250,0.215451629,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,100,0.003423932,],0.09594109281897545,0.010746027075206308, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,105,0.00357129,],0.09633135702461004,0.01070208258443264, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,110,0.004061279,],0.09633135702461004,0.01070208258443264, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,115,0.004244818,],0.0966777354478836,0.010651831829211145, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,120,0.007083277,],0.0966777354478836,0.010651831829211145, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,125,0.008943561,],0.09694518055766821,0.01056126677669498, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,130,0.023194087,],0.09694518055766821,0.01056126677669498, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,135,0.023551672000000003,],0.0971243092790246,0.01034652708539485, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,140,0.031427561,],0.0971243092790246,0.01034652708539485, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,145,0.035795119,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,150,0.029793035,],0.09719729702919722,0.009773501135766728, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,155,0.030018482000000006,],0.09719729702919722,0.009773501135766728, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,160,0.047785775,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,165,0.043647021,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,170,0.070594102,],0.09827304631471634,0.007820493620674001, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,175,0.067983709,],0.09827304631471634,0.007820493620674001, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,180,0.07897607200000001,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,185,0.090417879,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,190,0.098729977,],0.10409479402005672,0.002608608889130441, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,200,0.117104357,],,, [mmol C/m^3]
2010-12-09T00:00:00,-26.2483,-103.96076666666599,210,0.143806057,],,, [mmol C/m^3]
